member_type,rideable_type,trip_year,trip_month,trip_day_of_week,trip_hour,avg_ride_length_seconds,total_trips
casual,classic_bike,2024,6,5,23,1143,360
casual,classic_bike,2024,8,1,18,1890,1644
casual,electric_bike,2024,11,2,16,627,587
member,electric_bike,2024,3,1,4,476,45
casual,classic_bike,2024,6,5,0,2457,148
member,electric_bike,2024,7,6,21,791,1193
member,electric_bike,2024,8,4,11,723,1163
member,electric_bike,2024,10,5,15,688,2792
casual,classic_bike,2024,1,2,17,1456,147
member,classic_bike,2024,1,6,14,561,411
casual,classic_bike,2024,5,1,4,2498,51
casual,electric_bike,2024,6,7,19,1108,1360
casual,electric_bike,2024,7,4,18,906,2291
casual,electric_bike,2024,3,2,17,837,633
member,classic_bike,2024,5,5,7,740,1896
member,classic_bike,2024,6,2,7,743,1728
member,electric_bike,2024,1,3,14,560,377
casual,classic_bike,2024,2,2,9,1585,130
casual,classic_bike,2024,2,3,22,624,68
casual,electric_bike,2024,5,7,4,869,63
casual,classic_bike,2024,7,7,10,2229,1992
casual,electric_bike,2024,8,3,13,1036,774
casual,classic_bike,2024,5,5,9,1899,459
member,electric_bike,2024,6,4,10,818,1027
member,classic_bike,2024,8,6,21,803,959
casual,electric_bike,2024,10,2,1,572,89
casual,electric_bike,2024,2,1,12,970,204
casual,classic_bike,2024,7,4,18,1638,2563
casual,electric_bike,2024,8,6,5,706,187
casual,electric_bike,2024,10,6,6,516,215
member,electric_bike,2024,7,7,11,840,1873
member,electric_bike,2024,9,1,11,787,1891
casual,classic_bike,2024,9,3,6,785,232
member,electric_bike,2024,11,2,15,592,1323
member,classic_bike,2024,7,1,3,643,74
casual,classic_bike,2024,9,7,11,1927,1767
member,electric_bike,2024,12,6,12,491,551
casual,classic_bike,2024,12,2,23,929,38
member,electric_bike,2024,8,7,3,716,187
member,electric_bike,2024,9,4,3,706,38
member,classic_bike,2024,10,6,5,659,174
member,classic_bike,2024,11,3,5,912,200
casual,classic_bike,2024,10,7,3,876,78
member,electric_bike,2024,11,6,20,581,788
casual,classic_bike,2024,11,4,3,2896,7
member,electric_bike,2024,12,3,20,533,465
casual,classic_bike,2024,12,5,15,881,100
member,electric_bike,2024,5,4,18,726,3068
member,electric_bike,2024,6,1,18,865,1957
member,electric_scooter,2024,9,2,16,518,836
member,classic_bike,2024,10,3,13,685,1351
member,classic_bike,2024,2,4,15,704,1091
member,electric_bike,2024,3,1,14,709,1015
casual,classic_bike,2024,6,4,17,1675,2031
member,electric_bike,2024,2,3,4,844,37
member,electric_bike,2024,5,2,23,666,249
member,classic_bike,2024,7,4,21,932,1572
casual,classic_bike,2024,8,4,9,1879,523
member,electric_bike,2024,8,1,19,775,1349
member,classic_bike,2024,10,7,13,859,1803
member,electric_bike,2024,11,4,10,560,701
casual,classic_bike,2024,11,3,5,399,32
member,classic_bike,2024,4,1,7,873,226
casual,electric_bike,2024,2,6,10,812,102
casual,classic_bike,2024,4,7,3,3415,29
casual,classic_bike,2024,7,6,22,1488,796
member,electric_scooter,2024,9,4,14,482,408
casual,classic_bike,2024,9,6,13,2142,923
casual,classic_bike,2024,10,5,18,1120,1069
casual,electric_bike,2024,5,1,12,1160,981
casual,electric_bike,2024,8,1,18,1131,1504
casual,electric_bike,2024,1,4,6,695,58
casual,electric_bike,2024,3,6,2,486,43
casual,electric_bike,2024,4,3,2,658,38
casual,classic_bike,2024,5,5,13,1906,762
member,electric_bike,2024,5,2,0,564,213
casual,classic_bike,2024,6,2,12,2099,773
casual,classic_bike,2024,12,1,14,2140,240
member,electric_bike,2024,1,7,22,561,80
member,classic_bike,2024,11,7,5,1203,31
member,classic_bike,2024,11,5,0,492,78
member,classic_bike,2024,12,4,4,1488,20
member,electric_bike,2024,2,4,14,728,584
member,classic_bike,2024,8,1,21,844,663
member,electric_bike,2024,10,7,10,714,1575
casual,classic_bike,2024,10,6,5,1199,39
member,electric_bike,2024,12,1,10,663,574
member,electric_bike,2024,1,4,7,585,795
casual,electric_bike,2024,9,1,10,1144,1282
casual,electric_bike,2024,9,7,3,762,169
member,classic_bike,2024,9,2,23,749,213
casual,classic_bike,2024,12,2,1,1946,23
member,classic_bike,2024,12,5,14,571,338
member,classic_bike,2024,1,5,19,673,535
casual,classic_bike,2024,1,2,6,1355,28
casual,classic_bike,2024,5,4,3,1729,16
member,electric_bike,2024,8,2,6,588,931
casual,classic_bike,2024,8,3,22,1463,368
casual,classic_bike,2024,10,3,13,1569,573
casual,electric_bike,2024,12,6,22,560,75
member,electric_bike,2024,12,4,2,400,25
casual,electric_bike,2024,2,5,0,529,47
casual,electric_bike,2024,11,1,1,551,261
casual,classic_bike,2024,4,4,11,1992,207
member,classic_bike,2024,5,6,4,546,55
member,classic_bike,2024,6,3,4,786,33
member,classic_bike,2024,2,6,20,714,392
casual,classic_bike,2024,2,3,8,688,228
member,electric_bike,2024,3,4,6,455,610
member,classic_bike,2024,3,3,20,787,679
member,electric_bike,2024,4,1,5,638,73
casual,classic_bike,2024,9,5,3,1211,23
member,electric_bike,2024,10,6,0,529,309
casual,classic_bike,2024,10,2,3,934,15
member,electric_bike,2024,11,3,0,358,50
member,classic_bike,2024,5,3,12,716,1115
casual,classic_bike,2024,3,3,0,1235,23
member,classic_bike,2024,7,1,6,989,170
casual,classic_bike,2024,11,6,20,960,260
member,classic_bike,2024,4,7,23,864,260
member,classic_bike,2024,12,1,12,693,596
member,classic_bike,2024,2,7,7,666,210
member,electric_bike,2024,2,6,19,658,291
member,classic_bike,2024,8,5,23,824,388
casual,electric_scooter,2024,9,5,15,750,811
member,classic_bike,2024,9,3,10,775,866
member,classic_bike,2024,12,6,1,456,26
casual,electric_bike,2024,1,3,19,510,104
casual,classic_bike,2024,3,3,23,1526,80
casual,classic_bike,2024,6,6,14,1923,1243
casual,classic_bike,2024,6,1,2,1515,259
member,classic_bike,2024,10,4,21,706,983
casual,electric_bike,2024,5,7,5,720,61
casual,electric_bike,2024,8,7,11,1278,2450
casual,electric_bike,2024,9,4,11,953,633
casual,electric_bike,2024,11,6,7,487,280
casual,electric_bike,2024,12,3,7,462,194
casual,classic_bike,2024,1,1,19,836,29
casual,electric_bike,2024,2,2,22,550,64
casual,electric_bike,2024,6,7,20,1001,1237
casual,electric_bike,2024,7,4,19,909,1873
member,electric_bike,2024,9,7,4,630,86
member,electric_scooter,2024,9,7,6,458,72
casual,electric_bike,2024,4,6,17,780,782
casual,electric_bike,2024,9,6,16,853,1688
member,electric_bike,2024,12,5,12,564,496
casual,classic_bike,2024,12,7,7,1290,27
member,electric_bike,2024,8,7,12,871,2460
casual,classic_bike,2024,8,7,1,1563,552
member,classic_bike,2024,3,1,15,895,1219
casual,classic_bike,2024,5,7,18,1757,1781
member,electric_bike,2024,7,1,4,720,115
casual,classic_bike,2024,7,7,9,2121,1355
member,classic_bike,2024,9,5,1,884,49
member,classic_bike,2024,10,2,7,699,1453
member,classic_bike,2024,11,4,13,619,871
casual,classic_bike,2024,12,5,16,863,106
member,electric_bike,2024,3,3,19,602,811
member,classic_bike,2024,3,4,7,689,1214
casual,classic_bike,2024,3,5,14,1396,246
member,classic_bike,2024,8,6,10,769,1275
casual,classic_bike,2024,2,6,23,1825,63
member,electric_bike,2024,5,3,10,652,606
casual,electric_bike,2024,5,2,22,927,306
member,classic_bike,2024,11,1,21,988,269
casual,electric_bike,2024,2,4,13,847,191
casual,electric_bike,2024,3,1,13,1024,593
casual,electric_bike,2024,8,2,5,524,114
member,electric_bike,2024,9,5,13,642,1431
member,classic_bike,2024,1,3,5,560,145
casual,electric_bike,2024,5,5,14,999,819
member,electric_bike,2024,5,6,2,628,90
casual,electric_bike,2024,6,2,14,1076,905
member,electric_bike,2024,6,3,2,585,53
member,electric_bike,2024,8,5,21,710,1543
member,electric_bike,2024,9,2,21,675,1136
member,electric_scooter,2024,9,2,17,512,971
casual,classic_bike,2024,9,4,16,1392,1145
casual,classic_bike,2024,10,1,16,1757,1461
member,electric_bike,2024,10,6,23,722,676
member,electric_bike,2024,11,3,23,547,259
casual,electric_bike,2024,11,4,16,547,601
casual,electric_bike,2024,12,1,16,788,246
member,classic_bike,2024,1,1,17,640,386
member,electric_bike,2024,4,3,19,620,1593
member,electric_bike,2024,5,5,1,1072,142
casual,classic_bike,2024,2,7,10,1664,203
member,electric_bike,2024,3,5,10,645,453
casual,electric_bike,2024,1,2,15,732,170
casual,electric_bike,2024,2,1,21,541,63
casual,electric_bike,2024,5,4,13,986,797
casual,electric_bike,2024,6,6,16,989,1842
member,classic_bike,2024,11,2,22,961,221
casual,classic_bike,2024,9,1,1,1543,669
casual,electric_bike,2024,6,4,5,629,122
casual,electric_bike,2024,7,1,4,871,132
casual,electric_scooter,2024,9,2,23,670,265
casual,classic_bike,2024,12,4,15,1217,100
casual,electric_scooter,2024,9,1,13,874,978
member,classic_bike,2024,9,7,12,897,1777
member,classic_bike,2024,2,2,1,821,22
casual,electric_bike,2024,2,3,9,979,121
casual,classic_bike,2024,3,7,2,700,27
casual,classic_bike,2024,7,1,16,1784,1734
member,electric_bike,2024,9,4,12,603,1488
member,electric_scooter,2024,9,1,13,581,393
casual,classic_bike,2024,9,3,12,1649,602
casual,classic_bike,2024,2,6,0,645,50
member,electric_bike,2024,6,2,1,714,116
casual,classic_bike,2024,8,2,18,1605,1373
casual,classic_bike,2024,3,4,10,1645,161
member,electric_bike,2024,4,2,9,548,1099
member,electric_bike,2024,7,7,20,841,1356
member,classic_bike,2024,12,6,18,638,431
casual,electric_bike,2024,6,1,13,1251,2544
casual,electric_bike,2024,9,6,22,896,757
member,classic_bike,2024,10,5,22,821,638
member,electric_bike,2024,2,5,18,674,842
casual,electric_bike,2024,3,2,0,919,69
member,electric_bike,2024,9,6,0,645,363
casual,classic_bike,2024,9,2,11,2213,1237
casual,electric_bike,2024,10,4,1,595,106
casual,electric_bike,2024,8,2,22,881,422
casual,electric_bike,2024,11,5,3,385,28
casual,electric_bike,2024,12,2,3,650,25
casual,classic_bike,2024,1,6,8,569,56
casual,electric_bike,2024,2,2,8,767,110
member,electric_bike,2024,2,1,13,763,472
member,electric_bike,2024,2,7,6,620,55
casual,classic_bike,2024,4,3,1,2126,31
member,electric_bike,2024,8,6,8,658,2262
member,electric_bike,2024,9,3,8,675,2611
member,classic_bike,2024,1,2,18,675,934
casual,electric_bike,2024,4,7,21,1008,554
casual,electric_bike,2024,5,6,1,843,180
casual,electric_bike,2024,6,3,1,1081,126
casual,classic_bike,2024,8,6,23,1447,741
member,electric_bike,2024,12,7,3,466,40
casual,classic_bike,2024,12,6,3,525,5
member,classic_bike,2024,5,4,16,881,3557
member,electric_scooter,2024,9,5,18,561,913
member,classic_bike,2024,2,1,0,663,135
member,classic_bike,2024,2,3,11,743,716
member,classic_bike,2024,3,5,17,743,1892
casual,classic_bike,2024,4,1,10,1945,688
member,electric_bike,2024,6,6,3,638,62
member,electric_bike,2024,1,3,20,513,271
casual,electric_bike,2024,2,7,14,892,144
member,electric_bike,2024,4,6,11,631,919
casual,classic_bike,2024,8,5,13,2005,955
member,electric_bike,2024,11,3,6,631,781
casual,classic_bike,2024,11,4,9,810,170
member,electric_bike,2024,2,2,23,550,90
casual,electric_bike,2024,4,2,15,956,824
casual,electric_bike,2024,7,5,6,610,312
member,electric_bike,2024,7,5,6,640,865
member,classic_bike,2024,1,6,20,562,238
casual,electric_bike,2024,5,1,18,1132,1009
casual,classic_bike,2024,7,5,21,1536,857
casual,classic_bike,2024,9,7,17,1892,1661
casual,classic_bike,2024,10,4,17,1196,1373
member,electric_bike,2024,3,2,15,693,1101
casual,electric_bike,2024,7,7,20,1109,1353
member,classic_bike,2024,1,4,9,930,690
casual,electric_bike,2024,1,7,21,518,45
member,classic_bike,2024,6,5,1,885,41
member,classic_bike,2024,4,5,9,642,839
member,classic_bike,2024,10,1,20,784,566
member,electric_bike,2024,3,6,20,561,498
casual,electric_bike,2024,7,6,7,693,504
member,electric_bike,2024,10,2,21,607,720
member,classic_bike,2024,10,3,11,680,1133
member,classic_bike,2024,1,6,0,460,55
member,classic_bike,2024,4,2,17,880,3168
casual,classic_bike,2024,1,1,2,584,15
casual,electric_bike,2024,3,4,14,807,325
casual,classic_bike,2024,5,5,7,1583,300
casual,electric_bike,2024,7,3,15,974,1328
casual,classic_bike,2024,10,7,9,2122,937
casual,electric_bike,2024,12,5,18,716,212
member,electric_bike,2024,1,5,11,695,400
casual,electric_bike,2024,3,5,15,814,372
member,classic_bike,2024,3,3,3,1160,7
member,electric_bike,2024,9,6,23,718,697
member,electric_scooter,2024,9,6,19,529,522
casual,classic_bike,2024,11,2,18,1007,284
casual,classic_bike,2024,1,2,23,772,25
casual,electric_bike,2024,3,7,6,652,35
casual,electric_bike,2024,4,4,6,524,166
member,electric_bike,2024,6,7,4,751,114
casual,electric_bike,2024,2,5,23,555,76
member,electric_bike,2024,3,7,21,588,463
casual,electric_bike,2024,3,2,23,576,67
member,electric_bike,2024,4,4,20,559,823
casual,electric_bike,2024,8,6,7,657,692
casual,electric_bike,2024,9,3,7,599,648
member,classic_bike,2024,9,2,6,680,899
casual,electric_bike,2024,12,7,9,589,135
member,electric_bike,2024,2,2,3,684,15
member,classic_bike,2024,4,7,0,883,161
member,electric_bike,2024,5,7,12,879,1782
member,electric_bike,2024,6,4,12,700,1421
casual,classic_bike,2024,7,3,7,1169,530
casual,classic_bike,2024,3,2,19,1223,346
member,electric_bike,2024,6,7,7,794,812
member,electric_bike,2024,9,6,3,727,76
casual,classic_bike,2024,2,4,9,1476,116
member,electric_bike,2024,4,7,15,755,1465
casual,classic_bike,2024,5,7,1,1678,207
member,classic_bike,2024,10,5,2,590,20
member,classic_bike,2024,2,2,4,2451,27
casual,electric_bike,2024,4,1,14,1273,1113
member,electric_bike,2024,10,4,12,579,1737
member,classic_bike,2024,1,1,14,650,507
casual,electric_bike,2024,1,4,23,468,53
member,electric_bike,2024,4,3,16,726,3287
casual,electric_bike,2024,4,3,19,851,687
casual,classic_bike,2024,5,3,2,1252,20
casual,classic_bike,2024,8,2,21,1413,439
member,electric_bike,2024,9,2,4,525,107
casual,electric_bike,2024,9,1,16,1117,1934
casual,classic_bike,2024,1,4,17,1579,205
member,electric_bike,2024,2,6,2,627,26
casual,electric_bike,2024,2,6,4,582,9
casual,electric_bike,2024,3,3,4,532,20
member,electric_bike,2024,3,3,2,627,20
member,electric_bike,2024,5,5,21,675,1109
member,electric_bike,2024,6,2,21,716,853
member,electric_scooter,2024,9,4,8,535,926
member,classic_bike,2024,10,4,15,688,1952
member,electric_bike,2024,3,1,8,548,363
member,electric_bike,2024,3,7,1,478,170
casual,electric_scooter,2024,9,2,20,830,569
casual,classic_bike,2024,12,4,12,944,93
casual,electric_bike,2024,1,6,17,631,147
casual,electric_bike,2024,2,3,12,684,197
casual,classic_bike,2024,4,1,16,2396,1300
casual,electric_bike,2024,5,6,4,614,63
casual,classic_bike,2024,6,4,0,2529,123
member,electric_scooter,2024,9,1,16,532,548
casual,classic_bike,2024,12,1,20,1757,72
member,electric_bike,2024,11,1,12,644,1134
casual,classic_bike,2024,11,6,3,896,16
member,classic_bike,2024,12,6,15,650,521
casual,classic_bike,2024,1,3,10,698,64
casual,classic_bike,2024,2,6,3,829,7
member,classic_bike,2024,3,6,18,886,1061
member,classic_bike,2024,4,3,18,913,2237
member,classic_bike,2024,9,5,21,759,890
casual,electric_bike,2024,9,4,5,483,144
casual,classic_bike,2024,9,2,5,999,69
member,classic_bike,2024,5,6,10,787,1220
member,classic_bike,2024,6,3,10,715,850
casual,electric_scooter,2024,9,6,19,784,767
member,electric_bike,2024,10,1,20,637,686
member,electric_bike,2024,2,1,16,764,527
casual,electric_bike,2024,2,2,5,364,17
casual,classic_bike,2024,8,5,10,2098,657
casual,electric_bike,2024,10,1,0,759,705
member,classic_bike,2024,1,5,13,888,595
member,classic_bike,2024,6,6,2,1120,41
member,electric_bike,2024,1,1,9,849,192
casual,classic_bike,2024,7,5,18,1681,2073
casual,classic_bike,2024,10,4,14,1756,765
member,electric_bike,2024,12,3,1,453,62
member,electric_bike,2024,12,7,20,635,273
member,classic_bike,2024,1,2,21,681,245
member,classic_bike,2024,4,5,12,670,737
member,electric_bike,2024,7,7,14,905,1945
casual,classic_bike,2024,2,3,2,3898,8
member,electric_bike,2024,4,6,8,589,1287
casual,electric_bike,2024,8,4,13,987,893
casual,electric_bike,2024,11,3,9,586,276
casual,electric_bike,2024,3,2,20,779,240
casual,electric_bike,2024,6,5,12,1166,920
member,electric_bike,2024,6,6,0,638,327
member,electric_bike,2024,3,6,17,639,1423
casual,electric_bike,2024,3,6,19,685,277
member,electric_bike,2024,5,6,8,644,1777
member,classic_bike,2024,10,1,23,1007,133
casual,electric_bike,2024,1,1,8,467,38
casual,classic_bike,2024,2,1,17,1655,333
member,classic_bike,2024,11,1,15,779,1206
member,classic_bike,2024,11,2,5,575,208
casual,classic_bike,2024,4,5,12,1630,240
casual,classic_bike,2024,6,4,23,2380,270
casual,classic_bike,2024,9,7,14,1840,2038
casual,electric_bike,2024,10,3,17,754,1432
casual,classic_bike,2024,11,1,14,1812,738
member,classic_bike,2024,12,7,22,573,111
casual,classic_bike,2024,1,7,9,1162,66
casual,classic_bike,2024,3,1,9,2095,290
casual,electric_bike,2024,7,5,3,765,67
member,electric_bike,2024,8,4,14,703,1432
casual,electric_bike,2024,11,7,8,595,301
casual,electric_bike,2024,12,4,14,733,170
casual,classic_bike,2024,6,7,15,1900,2455
casual,classic_bike,2024,9,4,22,1161,428
casual,electric_bike,2024,10,6,9,910,513
casual,electric_bike,2024,2,5,20,587,117
casual,electric_bike,2024,7,2,11,1180,754
casual,classic_bike,2024,8,7,7,1923,411
casual,electric_scooter,2024,9,7,6,648,105
member,classic_bike,2024,3,7,5,748,34
member,classic_bike,2024,4,4,5,616,161
casual,electric_bike,2024,7,6,10,1320,854
member,electric_bike,2024,9,5,19,722,2013
member,classic_bike,2024,9,6,8,669,1725
casual,classic_bike,2024,5,6,17,1731,2032
casual,classic_bike,2024,6,3,16,1566,1220
member,classic_bike,2024,7,5,11,855,1075
casual,electric_scooter,2024,9,4,14,663,597
casual,electric_bike,2024,9,6,2,682,138
casual,electric_bike,2024,6,6,19,899,1278
casual,electric_bike,2024,7,3,18,834,1705
casual,classic_bike,2024,8,6,0,1736,248
member,electric_bike,2024,4,4,23,579,253
casual,classic_bike,2024,6,6,8,1297,513
member,classic_bike,2024,7,2,13,753,1352
member,classic_bike,2024,8,5,3,940,18
member,classic_bike,2024,9,2,3,998,28
casual,electric_bike,2024,10,7,16,1128,1572
casual,classic_bike,2024,11,5,19,981,150
casual,classic_bike,2024,5,2,12,2163,940
member,electric_bike,2024,7,6,10,778,1070
member,classic_bike,2024,2,6,0,565,92
member,classic_bike,2024,7,7,22,997,835
casual,classic_bike,2024,7,4,14,1863,1151
casual,classic_bike,2024,7,2,3,1155,26
member,electric_bike,2024,9,1,14,793,1742
casual,electric_bike,2024,9,5,12,934,792
member,electric_bike,2024,10,2,4,509,64
casual,classic_bike,2024,10,3,10,1929,422
casual,electric_bike,2024,11,7,14,856,896
member,electric_bike,2024,12,6,16,671,1041
member,electric_bike,2024,12,4,5,518,158
casual,electric_bike,2024,12,4,8,473,276
member,classic_bike,2024,2,1,14,873,1098
member,electric_bike,2024,6,4,6,627,1036
member,electric_bike,2024,9,3,2,918,58
casual,classic_bike,2024,10,1,22,1067,157
member,classic_bike,2024,6,5,18,901,2739
casual,classic_bike,2024,8,6,17,1645,2291
casual,electric_bike,2024,8,3,9,794,483
member,classic_bike,2024,9,4,14,729,1336
casual,classic_bike,2024,11,5,13,1440,221
casual,electric_bike,2024,11,2,5,590,54
member,classic_bike,2024,12,7,5,1904,24
casual,electric_bike,2024,5,6,18,967,1906
casual,electric_bike,2024,6,3,18,860,1773
member,classic_bike,2024,6,7,6,967,364
member,classic_bike,2024,9,6,2,1394,38
member,classic_bike,2024,11,5,20,654,472
member,classic_bike,2024,12,2,19,612,572
casual,electric_bike,2024,12,2,20,523,162
casual,electric_bike,2024,9,3,1,775,73
casual,classic_bike,2024,4,7,23,2111,232
casual,classic_bike,2024,4,2,20,1222,358
casual,electric_bike,2024,5,4,7,624,651
casual,classic_bike,2024,5,4,23,2081,152
member,classic_bike,2024,5,1,21,911,450
member,electric_bike,2024,5,2,3,644,55
casual,electric_bike,2024,6,1,7,1048,315
member,electric_bike,2024,11,2,19,571,1042
casual,classic_bike,2024,12,2,4,593,13
member,electric_bike,2024,7,4,22,783,1166
member,electric_bike,2024,8,1,22,769,657
casual,classic_bike,2024,8,4,6,931,219
casual,classic_bike,2024,11,3,2,509,8
casual,electric_bike,2024,1,5,13,613,161
member,electric_bike,2024,1,1,15,674,296
casual,electric_bike,2024,5,1,15,1203,1212
member,classic_bike,2024,5,5,3,415,13
casual,electric_bike,2024,8,1,15,1186,2196
member,electric_bike,2024,8,3,10,710,835
member,electric_bike,2024,11,6,1,650,111
member,classic_bike,2024,3,5,11,779,559
member,classic_bike,2024,8,4,22,845,659
casual,classic_bike,2024,9,6,10,2491,630
member,electric_bike,2024,11,7,5,519,91
casual,classic_bike,2024,1,6,2,468,4
member,classic_bike,2024,5,7,14,1076,2049
member,classic_bike,2024,12,5,11,564,332
casual,classic_bike,2024,4,4,8,992,235
member,classic_bike,2024,8,7,14,980,2072
casual,electric_bike,2024,10,5,5,475,123
casual,classic_bike,2024,3,3,3,719,3
member,electric_bike,2024,6,6,17,791,2875
member,electric_bike,2024,1,3,3,630,11
member,classic_bike,2024,5,3,9,821,854
casual,electric_bike,2024,5,3,3,1479,33
member,classic_bike,2024,12,3,23,556,93
member,electric_bike,2024,7,3,18,724,3024
casual,classic_bike,2024,7,2,20,1555,1080
casual,electric_bike,2024,8,5,20,845,1259
casual,electric_bike,2024,9,2,20,860,851
member,electric_bike,2024,10,7,13,776,1930
member,electric_bike,2024,2,4,8,622,1017
casual,classic_bike,2024,2,5,13,1402,290
member,electric_bike,2024,6,1,14,893,2326
member,classic_bike,2024,6,2,3,759,24
member,electric_bike,2024,10,3,8,666,3433
member,classic_bike,2024,4,2,11,692,1049
member,classic_bike,2024,9,1,22,792,467
member,classic_bike,2024,6,4,14,824,1235
member,electric_bike,2024,4,2,12,615,1399
member,electric_bike,2024,4,1,22,673,330
casual,classic_bike,2024,5,1,8,2167,458
member,classic_bike,2024,1,7,7,726,122
casual,classic_bike,2024,4,6,2,1000,8
member,electric_bike,2024,7,1,7,756,310
casual,electric_scooter,2024,9,3,10,622,310
member,electric_bike,2024,11,5,11,639,573
casual,electric_bike,2024,11,5,20,536,183
member,electric_bike,2024,12,2,11,964,642
member,classic_bike,2024,3,7,22,702,347
member,classic_bike,2024,4,4,22,655,287
member,classic_bike,2024,4,3,1,683,26
casual,electric_bike,2024,7,7,14,1308,2420
member,electric_bike,2024,8,7,15,922,2611
casual,electric_bike,2024,8,6,1,985,307
member,electric_bike,2024,8,5,4,632,78
casual,electric_bike,2024,6,7,0,830,916
casual,classic_bike,2024,6,1,22,1660,526
member,classic_bike,2024,7,3,17,927,4501
casual,electric_bike,2024,9,7,6,785,200
member,electric_bike,2024,10,5,19,648,2108
casual,electric_bike,2024,12,6,2,529,37
member,classic_bike,2024,2,5,19,695,1047
member,classic_bike,2024,3,2,19,762,1039
casual,electric_bike,2024,6,7,23,894,840
casual,classic_bike,2024,7,7,6,1907,174
member,electric_bike,2024,9,7,7,776,647
casual,classic_bike,2024,10,6,2,824,38
casual,electric_bike,2024,2,4,16,715,337
casual,classic_bike,2024,3,2,13,2086,277
member,electric_bike,2024,5,4,14,686,1728
casual,classic_bike,2024,6,5,4,4846,26
casual,classic_bike,2024,11,7,7,996,136
casual,electric_bike,2024,4,5,13,783,298
casual,classic_bike,2024,8,1,14,2017,2229
member,electric_bike,2024,5,7,6,768,242
member,electric_scooter,2024,9,2,20,518,408
casual,classic_bike,2024,1,1,16,1021,89
casual,classic_bike,2024,3,6,18,2037,340
member,classic_bike,2024,10,2,4,414,26
casual,classic_bike,2024,12,5,19,2082,50
member,electric_bike,2024,1,6,18,647,453
member,classic_bike,2024,11,6,1,786,46
member,classic_bike,2024,12,3,0,714,49
casual,electric_bike,2024,10,1,23,718,195
casual,classic_bike,2024,1,5,21,1584,46
casual,electric_bike,2024,1,3,2,402,6
casual,classic_bike,2024,2,2,21,2731,90
casual,electric_bike,2024,2,7,8,488,41
casual,electric_bike,2024,3,4,8,501,334
casual,electric_bike,2024,4,1,8,900,190
member,electric_bike,2024,5,1,22,669,457
member,classic_bike,2024,10,6,9,621,1049
member,classic_bike,2024,11,3,9,621,1013
casual,electric_bike,2024,3,1,16,963,568
casual,electric_bike,2024,5,6,21,879,739
casual,electric_bike,2024,6,4,8,716,714
casual,electric_bike,2024,12,2,23,572,90
member,electric_bike,2024,4,5,4,432,39
casual,electric_bike,2024,8,5,17,868,2401
member,classic_bike,2024,9,6,22,819,626
casual,classic_bike,2024,9,1,4,1579,115
casual,electric_bike,2024,10,5,8,546,878
casual,electric_bike,2024,11,4,13,616,323
member,classic_bike,2024,4,6,16,781,1126
casual,classic_bike,2024,4,2,17,1698,974
member,electric_bike,2024,5,7,9,728,1198
casual,electric_bike,2024,7,3,12,1003,846
member,electric_bike,2024,8,6,5,570,392
member,classic_bike,2024,1,3,2,755,8
casual,electric_bike,2024,9,3,4,492,48
casual,electric_bike,2024,12,2,0,506,57
member,classic_bike,2024,7,7,2,986,116
casual,classic_bike,2024,2,6,20,835,124
member,electric_bike,2024,3,6,0,653,180
member,classic_bike,2024,3,6,1,620,41
member,classic_bike,2024,6,5,21,887,1041
member,classic_bike,2024,8,7,17,993,2237
member,electric_bike,2024,9,4,15,725,2312
casual,electric_scooter,2024,9,4,8,529,722
member,classic_bike,2024,9,4,17,840,4139
member,classic_bike,2024,5,7,11,1045,1979
member,classic_bike,2024,8,6,7,746,1642
casual,classic_bike,2024,2,7,7,649,29
casual,classic_bike,2024,3,4,7,725,143
casual,electric_bike,2024,7,4,22,957,1002
member,electric_bike,2024,10,2,1,517,93
casual,electric_bike,2024,3,2,3,941,22
casual,electric_bike,2024,5,7,8,1089,504
casual,electric_bike,2024,7,1,7,901,202
casual,electric_bike,2024,2,1,1,603,23
member,classic_bike,2024,4,5,6,851,536
casual,electric_bike,2024,9,2,17,921,1866
casual,electric_bike,2024,11,2,8,522,435
casual,classic_bike,2024,1,6,5,724,11
casual,classic_bike,2024,4,3,4,808,7
casual,classic_bike,2024,7,2,23,1975,213
member,electric_bike,2024,9,3,5,667,327
member,electric_bike,2024,3,5,13,596,761
member,classic_bike,2024,9,7,9,835,1278
casual,electric_bike,2024,11,5,0,462,87
member,electric_bike,2024,7,6,13,780,1636
casual,classic_bike,2024,8,2,15,1641,1022
member,electric_bike,2024,8,3,13,676,1239
casual,classic_bike,2024,6,1,5,1685,87
member,electric_bike,2024,7,5,3,880,63
casual,classic_bike,2024,12,6,0,856,32
casual,electric_bike,2024,1,2,12,514,138
member,electric_bike,2024,2,7,3,647,18
member,electric_bike,2024,3,4,3,838,27
member,electric_bike,2024,5,6,22,742,961
member,electric_bike,2024,6,3,22,724,722
casual,classic_bike,2024,10,2,6,1478,108
member,electric_bike,2024,1,3,0,992,47
casual,electric_bike,2024,5,3,6,557,246
member,classic_bike,2024,12,6,21,629,118
casual,classic_bike,2024,12,3,8,610,121
casual,electric_bike,2024,3,7,9,836,390
casual,electric_bike,2024,10,3,11,909,519
casual,electric_bike,2024,4,2,18,818,974
casual,electric_bike,2024,7,5,9,831,534
casual,electric_bike,2024,1,7,18,524,73
casual,classic_bike,2024,8,5,16,1438,1393
member,electric_bike,2024,10,5,16,695,3966
casual,classic_bike,2024,11,4,12,1626,246
member,electric_bike,2024,11,3,3,762,18
